V1,V2,node_id,congress,icpsr,state_abbrev,bioname,party_name,x_svd,y_svd,betweenness,pagerank
0.5534281389946375,-0.910590123183158,507_1,1,507,DE,"BASSETT, Richard",Other,0.5534281389946375,-0.910590123183158,0.02680037532254281,0.04550930422039205
0.012571060275164535,-0.8164552858369306,1346_1,1,1346,SC,"BUTLER, Pierce",Other,0.012571060275164535,-0.8164552858369306,0.011275314723590585,0.03715836532193765
0.5041648134628446,-0.9340960247299915,1536_1,1,1536,MD,"CARROLL, Charles (of Carrollton)",Other,0.5041648134628446,-0.9340960247299915,0.01312073941384286,0.044769382650982355
-0.7208983871513864,-0.945319526983222,2307_1,1,2307,MA,"DALTON, Tristram",Other,-0.7208983871513864,-0.945319526983222,0.022288774443946852,0.04527802683839144
-0.12992316246817018,-0.19564712002133605,2576_1,1,2576,NJ,"DICKINSON, Philemon",Other,-0.12992316246817018,-0.19564712002133605,0,0.005639097744360905
-0.5794643784158735,-0.9377121016230273,2936_1,1,2936,CT,"ELLSWORTH, Oliver",Other,-0.5794643784158735,-0.9377121016230273,0.02967491594338885,0.04576404266585022
-0.014738752934984741,-0.8816591087283425,2943_1,1,2943,NJ,"ELMER, Jonathan",Other,-0.014738752934984741,-0.8816591087283425,0.007450738916256157,0.03696576493167017
0.19431237356528916,-0.7974216598228712,3128_1,1,3128,GA,"FEW, William",Other,0.19431237356528916,-0.7974216598228712,0.02090574996978938,0.041523097625890223
-0.20126816337287054,-0.5699947812317053,3315_1,1,3315,RI,"FOSTER, Theodore",Other,-0.20126816337287054,-0.5699947812317053,0.0016928610524669639,0.02255753577112788
0.09629966419953523,-0.0884569900584167,3771_1,1,3771,VA,"GRAYSON, William",Other,0.09629966419953523,-0.0884569900584167,0,0.005639097744360905
0.6128356272493211,-0.6926284374185264,3877_1,1,3877,GA,"GUNN, James",Other,0.6128356272493211,-0.6926284374185264,0.001384979279067949,0.02923635521808399
0.6472835202457888,-0.691380885172638,4212_1,1,4212,NC,"HAWKINS, Benjamin",Other,0.6472835202457888,-0.691380885172638,0.002010516850418328,0.0313279129366672
0.5848392020374665,-0.9038840425624463,4333_1,1,4333,MD,"HENRY, John",Other,0.5848392020374665,-0.9038840425624463,0.024004026898115573,0.04527063707825735
-0.3284917051778354,-0.898909749581314,4837_1,1,4837,SC,"IZARD, Ralph",Other,-0.3284917051778354,-0.898909749581314,0.0408496470688589,0.049405199698880554
-0.8574123589102753,-0.7507381995892343,4998_1,1,4998,CT,"JOHNSON, William Samuel",Other,-0.8574123589102753,-0.7507381995892343,0.0019891028511718166,0.0277032807039602
0.1805584202895413,-0.7294224727505138,5012_1,1,5012,NC,"JOHNSTON, Samuel",Other,0.1805584202895413,-0.7294224727505138,0.012399416401879455,0.03390895971644074
-1,-0.8302588992409364,5270_1,1,5270,NY,"KING, Rufus",Other,-1,-0.8302588992409364,0.00490371697268249,0.035204807309215255
0.02483854075759769,-0.8469420113251052,5449_1,1,5449,NH,"LANGDON, John",Other,0.02483854075759769,-0.8469420113251052,0.018190525949146635,0.0449265959611306
0.9849918190358697,-0.8366527403758324,5565_1,1,5565,VA,"LEE, Richard Henry",Other,0.9849918190358697,-0.8366527403758324,0.01142974431151771,0.039399418296356375
0.6756205599250001,-0.7494423084657998,5891_1,1,5891,PA,"MACLAY, William",Other,0.6756205599250001,-0.7494423084657998,0.006687387598717648,0.033425124587820376
0.15879823337297497,-0.12493515073385869,6594_1,1,6594,VA,"MONROE, James",Other,0.15879823337297497,-0.12493515073385869,0,0.005639097744360905
-0.11010629712984764,-0.8901242124857726,6712_1,1,6712,PA,"MORRIS, Robert",Other,-0.11010629712984764,-0.8901242124857726,0.019766098706985404,0.04309190193601562
-0.6301819039127369,-0.6403711048266482,7231_1,1,7231,NJ,"PATERSON, William",Other,-0.6301819039127369,-0.6403711048266482,0.0010057471264367814,0.027656409621323905
0.24794899114458427,-1,7762_1,1,7762,DE,"READ, George",Other,0.24794899114458427,-1,0.0210572473503508,0.04873968629317195
-0.9601154665668,-0.8049278748917428,8282_1,1,8282,NY,"SCHUYLER, Philip John",Other,-0.9601154665668,-0.8049278748917428,0.00490371697268249,0.035204807309215255
-0.05602124531507597,-0.5839536061905919,8845_1,1,8845,RI,"STANTON, Joseph, Jr.",Other,-0.05602124531507597,-0.5839536061905919,0.002029087497067793,0.024402093033679125
-0.5611109336985156,-0.8682350400377571,9028_1,1,9028,MA,"STRONG, Caleb",Other,-0.5611109336985156,-0.8682350400377571,0.022790093048713732,0.04342787920335332
0.49409310497808934,-0.5256768006709307,9747_1,1,9747,VA,"WALKER, John",Other,0.49409310497808934,-0.5256768006709307,2.4630541871921186e-4,0.022011142437977024
0.44202346771458273,-0.8632289103264261,10272_1,1,10272,NH,"WINGATE, Paine",Other,0.44202346771458273,-0.8632289103264261,0.025822972867307843,0.043575877654765685
0.2322550747205234,-0.7791875220519516,507_2,2,507,DE,"BASSETT, Richard",Other,0.2322550747205234,-0.7791875220519516,0.009637992831541218,0.03471935401999532
0.7277777535319218,-0.8481458694833596,956_2,2,956,VT,"BRADLEY, Stephen Row",Other,0.7277777535319218,-0.8481458694833596,0.0016095672547285448,0.031249440802332742
-0.045728914987776675,-0.10395245974265575,1118_2,2,1118,KY,"BROWN, John",Other,-0.045728914987776675,-0.10395245974265575,0,0.005405405405405408
-0.045728914987776675,-0.10395245974265575,1118_2,2,1118,KY,"BROWN, John",Other,-0.045728914987776675,-0.10395245974265575,0,0.005405405405405408
